Unnamed: 0,ALG,Optimum,Blocking Pairs,Sum_Profit,Sum_ETA,Sum_Max_Possible_Profit,Min_Individual_Profit,Max_Individual_Profit,Sum_Min_Possible_ETA,Min_Individual_ETA,Max_Individual_ETA,rel_Profit_Performance,rel_ETA_Performance,n,ID,Alg
706,ALG1,Passenger-optimal,50,1429,621,1866,6,99,102,1,54,0.7658092175777064,0.1642512077294686,20,F1P,F1P
707,ALG2,Passenger-optimal,79,944,542,1866,6,84,102,2,57,0.5058949624866024,0.1881918819188192,20,F2P,F2P
708,ALG1,Passenger-optimal,41,1291,672,1851,4,98,102,2,57,0.697460831982712,0.15178571428571427,20,F1P,F1P
709,ALG2,Passenger-optimal,102,952,577,1851,1,97,102,4,59,0.5143165856293895,0.17677642980935876,20,F2P,F2P
710,ALG1,Passenger-optimal,70,1476,631,1870,27,98,112,1,58,0.7893048128342246,0.1774960380348653,20,F1P,F1P
711,ALG2,Passenger-optimal,99,813,730,1870,2,97,112,5,58,0.43475935828877005,0.15342465753424658,20,F2P,F2P
712,ALG1,Passenger-optimal,65,1550,529,1874,30,99,112,1,59,0.8271077908217717,0.21172022684310018,20,F1P,F1P
713,ALG2,Passenger-optimal,119,1034,679,1874,6,98,112,4,59,0.551760939167556,0.16494845360824742,20,F2P,F2P
714,ALG1,Passenger-optimal,78,1382,506,1894,30,99,96,2,59,0.7296726504751848,0.18972332015810275,20,F1P,F1P
715,ALG2,Passenger-optimal,122,1063,556,1894,12,97,96,1,49,0.561246040126716,0.17266187050359713,20,F2P,F2P
716,ALG1,Passenger-optimal,50,1463,642,1777,25,97,116,1,54,0.823297692740574,0.1806853582554517,20,F1P,F1P
717,ALG2,Passenger-optimal,86,1042,468,1777,10,96,116,1,52,0.586381541924592,0.24786324786324787,20,F2P,F2P
718,ALG1,Passenger-optimal,92,1539,499,1838,17,99,98,1,59,0.8373231773667029,0.1963927855711423,20,F1P,F1P
719,ALG2,Passenger-optimal,113,910,561,1838,7,87,98,1,59,0.49510337323177367,0.1746880570409982,20,F2P,F2P
720,ALG1,Passenger-optimal,68,1474,542,1817,17,96,109,1,56,0.8112272977435333,0.2011070110701107,20,F1P,F1P
721,ALG2,Passenger-optimal,61,1215,524,1817,15,96,109,3,53,0.6686846450192625,0.20801526717557253,20,F2P,F2P
722,ALG1,Passenger-optimal,60,1422,665,1824,24,99,93,3,57,0.7796052631578947,0.13984962406015036,20,F1P,F1P
723,ALG2,Passenger-optimal,98,896,563,1824,2,88,93,2,57,0.49122807017543857,0.16518650088809947,20,F2P,F2P
724,ALG1,Passenger-optimal,64,1573,500,1842,54,98,134,1,49,0.8539630836047775,0.268,20,F1P,F1P
725,ALG2,Passenger-optimal,91,1127,598,1842,20,96,134,2,57,0.6118349619978285,0.22408026755852842,20,F2P,F2P
726,ALG1,Passenger-optimal,55,1524,571,1874,25,98,62,2,59,0.8132337246531484,0.1085814360770578,20,F1P,F1P
727,ALG2,Passenger-optimal,99,741,661,1874,5,97,62,1,59,0.39541088580576306,0.09379727685325265,20,F2P,F2P
728,ALG1,Passenger-optimal,47,1304,597,1805,12,98,113,2,57,0.7224376731301939,0.18927973199329984,20,F1P,F1P
729,ALG2,Passenger-optimal,58,1108,615,1805,8,96,113,1,58,0.6138504155124653,0.183739837398374,20,F2P,F2P
730,ALG1,Passenger-optimal,79,1357,529,1799,8,96,116,2,58,0.754307948860478,0.21928166351606806,20,F1P,F1P
731,ALG2,Passenger-optimal,132,859,672,1799,4,84,116,1,57,0.4774874930516954,0.17261904761904762,20,F2P,F2P
732,ALG1,Passenger-optimal,70,1427,626,1812,11,99,88,1,57,0.7875275938189845,0.14057507987220447,20,F1P,F1P
733,ALG2,Passenger-optimal,93,1133,608,1812,17,97,88,5,59,0.6252759381898455,0.14473684210526316,20,F2P,F2P
734,ALG1,Passenger-optimal,48,1312,399,1836,2,98,81,1,54,0.7145969498910676,0.20300751879699247,20,F1P,F1P
735,ALG2,Passenger-optimal,114,725,710,1836,3,94,81,2,57,0.394880174291939,0.11408450704225352,20,F2P,F2P
736,ALG1,Passenger-optimal,45,1513,531,1888,42,98,122,1,58,0.8013771186440678,0.2297551789077213,20,F1P,F1P
737,ALG2,Passenger-optimal,92,1031,641,1888,4,86,122,7,57,0.5460805084745762,0.19032761310452417,20,F2P,F2P
738,ALG1,Passenger-optimal,53,1571,709,1801,28,99,120,8,59,0.8722931704608551,0.1692524682651622,20,F1P,F1P
739,ALG2,Passenger-optimal,104,1161,518,1801,6,96,120,3,59,0.6446418656302054,0.23166023166023167,20,F2P,F2P
740,ALG1,Passenger-optimal,93,1377,546,1831,21,98,94,2,48,0.7520480611687602,0.17216117216117216,20,F1P,F1P
741,ALG2,Passenger-optimal,74,1108,561,1831,3,99,94,2,59,0.6051338066630256,0.16755793226381463,20,F2P,F2P
742,ALG1,Passenger-optimal,50,1226,650,1876,6,95,65,4,55,0.6535181236673774,0.1,20,F1P,F1P
743,ALG2,Passenger-optimal,61,1156,760,1876,6,99,65,7,59,0.6162046908315565,0.08552631578947369,20,F2P,F2P
744,ALG1,Passenger-optimal,74,1260,691,1823,21,99,102,1,59,0.6911684037301152,0.1476121562952243,20,F1P,F1P
745,ALG2,Passenger-optimal,68,1074,659,1823,4,96,102,3,57,0.5891387822270981,0.15477996965098634,20,F2P,F2P
746,ALG1,Passenger-optimal,86,1393,512,1836,29,99,68,1,49,0.7587145969498911,0.1328125,20,F1P,F1P
747,ALG2,Passenger-optimal,102,1002,681,1836,5,89,68,2,55,0.545751633986928,0.09985315712187959,20,F2P,F2P
748,ALG1,Passenger-optimal,63,1376,581,1847,8,93,113,2,57,0.7449918787222523,0.1944922547332186,20,F1P,F1P
749,ALG2,Passenger-optimal,82,1073,536,1847,3,93,113,1,56,0.5809420682187331,0.21082089552238806,20,F2P,F2P
750,ALG1,Passenger-optimal,59,1168,617,1854,4,99,82,3,59,0.6299892125134844,0.13290113452188007,20,F1P,F1P
751,ALG2,Passenger-optimal,95,992,557,1854,13,95,82,2,55,0.535059331175836,0.14721723518850988,20,F2P,F2P
752,ALG1,Passenger-optimal,54,1569,420,1845,23,99,92,2,52,0.8504065040650407,0.21904761904761905,20,F1P,F1P
753,ALG2,Passenger-optimal,86,996,577,1845,6,99,92,1,55,0.5398373983739837,0.15944540727902945,20,F2P,F2P
754,ALG1,Passenger-optimal,48,1445,657,1878,18,98,98,3,59,0.7694355697550586,0.1491628614916286,20,F1P,F1P
755,ALG2,Passenger-optimal,58,1151,499,1878,18,95,98,4,57,0.6128860489882854,0.1963927855711423,20,F2P,F2P
756,ALG1,Passenger-optimal,40,1615,542,1845,12,99,107,1,59,0.8753387533875339,0.1974169741697417,20,F1P,F1P
757,ALG2,Passenger-optimal,101,1093,670,1845,11,94,107,4,59,0.5924119241192412,0.15970149253731344,20,F2P,F2P
758,ALG1,Passenger-optimal,83,1243,508,1838,8,93,91,1,56,0.676278563656148,0.17913385826771652,20,F1P,F1P
759,ALG2,Passenger-optimal,90,1051,641,1838,1,98,91,1,55,0.5718171926006529,0.1419656786271451,20,F2P,F2P
760,ALG1,Passenger-optimal,81,1219,681,1862,3,98,87,6,58,0.6546723952738991,0.1277533039647577,20,F1P,F1P
761,ALG2,Passenger-optimal,83,1026,635,1862,6,99,87,3,57,0.5510204081632653,0.13700787401574804,20,F2P,F2P
762,ALG1,Passenger-optimal,77,1301,587,1865,2,99,102,5,57,0.6975871313672922,0.1737649063032368,20,F1P,F1P
763,ALG2,Passenger-optimal,106,1086,679,1865,2,96,102,5,57,0.5823056300268097,0.15022091310751104,20,F2P,F2P
764,ALG1,Passenger-optimal,60,1438,629,1809,3,99,77,1,54,0.794914317302377,0.12241653418124006,20,F1P,F1P
765,ALG2,Passenger-optimal,104,1069,564,1809,5,97,77,2,59,0.5909342177998894,0.13652482269503546,20,F2P,F2P
766,ALG1,Passenger-optimal,68,1405,554,1825,22,98,98,5,52,0.7698630136986301,0.17689530685920576,20,F1P,F1P
767,ALG2,Passenger-optimal,77,1085,625,1825,6,97,98,6,57,0.5945205479452055,0.1568,20,F2P,F2P
768,ALG1,Passenger-optimal,45,1506,632,1858,14,98,112,9,59,0.8105489773950484,0.17721518987341772,20,F1P,F1P
769,ALG2,Passenger-optimal,96,1002,574,1858,2,85,112,10,53,0.5392895586652314,0.1951219512195122,20,F2P,F2P
770,ALG1,Passenger-optimal,34,1488,474,1846,31,96,99,2,56,0.8060671722643553,0.2088607594936709,20,F1P,F1P
771,ALG2,Passenger-optimal,87,1059,642,1846,2,95,99,4,59,0.5736728060671723,0.1542056074766355,20,F2P,F2P
772,ALG1,Passenger-optimal,71,1304,426,1829,14,99,89,1,53,0.7129579004920722,0.20892018779342722,20,F1P,F1P
773,ALG2,Passenger-optimal,144,796,554,1829,5,99,89,1,59,0.43521049753963914,0.16064981949458484,20,F2P,F2P
774,ALG1,Passenger-optimal,50,1619,595,1889,57,99,106,4,57,0.8570672313393329,0.1781512605042017,20,F1P,F1P
775,ALG2,Passenger-optimal,101,942,533,1889,5,93,106,4,58,0.49867654843832715,0.19887429643527205,20,F2P,F2P
776,ALG1,Passenger-optimal,66,1411,621,1865,8,98,92,6,58,0.7565683646112601,0.14814814814814814,20,F1P,F1P
777,ALG2,Passenger-optimal,92,1032,665,1865,5,99,92,2,59,0.5533512064343163,0.13834586466165413,20,F2P,F2P
778,ALG1,Passenger-optimal,69,1458,597,1851,22,97,108,5,56,0.7876823338735819,0.18090452261306533,20,F1P,F1P
779,ALG2,Passenger-optimal,87,977,477,1851,5,95,108,3,55,0.5278227984873042,0.22641509433962265,20,F2P,F2P
780,ALG1,Passenger-optimal,61,1420,489,1837,13,95,67,1,58,0.7729994556341862,0.13701431492842536,20,F1P,F1P
781,ALG2,Passenger-optimal,70,1019,674,1837,14,92,67,6,58,0.5547087642896026,0.09940652818991098,20,F2P,F2P
782,ALG1,Passenger-optimal,59,1286,642,1841,16,98,116,3,59,0.6985334057577404,0.1806853582554517,20,F1P,F1P
783,ALG2,Passenger-optimal,91,1033,482,1841,4,99,116,1,59,0.561108093427485,0.24066390041493776,20,F2P,F2P
784,ALG1,Passenger-optimal,73,1373,446,1828,7,99,78,1,57,0.7510940919037199,0.17488789237668162,20,F1P,F1P
785,ALG2,Passenger-optimal,63,1190,648,1828,3,98,78,3,59,0.650984682713348,0.12037037037037036,20,F2P,F2P
786,ALG1,Passenger-optimal,66,1535,493,1835,3,98,87,2,57,0.8365122615803815,0.17647058823529413,20,F1P,F1P
787,ALG2,Passenger-optimal,88,1065,599,1835,14,96,87,2,58,0.5803814713896458,0.14524207011686144,20,F2P,F2P
788,ALG1,Passenger-optimal,37,1473,640,1846,41,99,115,1,58,0.7979414951245937,0.1796875,20,F1P,F1P
789,ALG2,Passenger-optimal,134,830,593,1846,5,86,115,1,55,0.4496208017334778,0.19392917369308602,20,F2P,F2P
790,ALG1,Passenger-optimal,69,1519,536,1861,12,99,94,3,56,0.816227834497582,0.17537313432835822,20,F1P,F1P
791,ALG2,Passenger-optimal,112,876,553,1861,3,77,94,6,59,0.4707146695325094,0.16998191681735986,20,F2P,F2P
792,ALG1,Passenger-optimal,77,1456,424,1798,27,97,104,1,47,0.8097886540600667,0.24528301886792453,20,F1P,F1P
793,ALG2,Passenger-optimal,59,1130,548,1798,8,91,104,2,55,0.628476084538376,0.1897810218978102,20,F2P,F2P
794,ALG1,Passenger-optimal,46,1011,616,1847,4,95,89,2,59,0.5473741201949107,0.1444805194805195,20,F1P,F1P
795,ALG2,Passenger-optimal,81,1052,583,1847,12,91,89,2,55,0.5695722793719545,0.15265866209262435,20,F2P,F2P
796,ALG1,Passenger-optimal,52,1433,598,1862,22,97,98,1,58,0.7696025778732546,0.16387959866220736,20,F1P,F1P
797,ALG2,Passenger-optimal,80,1155,659,1862,2,97,98,2,58,0.6203007518796992,0.14871016691957512,20,F2P,F2P
798,ALG1,Passenger-optimal,50,1531,628,1891,17,99,94,3,59,0.8096245372818615,0.14968152866242038,20,F1P,F1P
799,ALG2,Passenger-optimal,120,871,659,1891,5,96,94,5,59,0.46060285563194076,0.1426403641881639,20,F2P,F2P
